City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
87,Kaitangata,NZ,-46.2817,169.8464,57.0,65,65,broken clouds
88,Yumen,CN,40.2833,97.2,63.95,7,100,overcast clouds
89,Ust-Ordynskiy,RU,52.805,104.7508,39.2,33,0,clear sky
90,Clyde River,CA,70.4692,-68.5914,5.0,85,90,light snow
91,Esmeraldas,BR,-19.7625,-44.3139,64.4,77,0,clear sky
92,Yerbogachen,RU,61.2767,108.0108,21.54,57,81,broken clouds
93,Tangier,MA,35.7806,-5.8137,55.4,71,40,scattered clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,40,scattered clouds
95,Karangasem,ID,-8.45,115.6167,87.8,70,20,few clouds
96,Saint-Leu,RE,-21.15,55.2833,82.4,73,90,overcast clouds
97,Batagay,RU,67.6333,134.6333,22.66,88,100,light snow
98,Tuatapere,NZ,-46.1333,167.6833,55.0,71,91,overcast clouds
99,Upernavik,GL,72.7868,-56.1549,6.15,90,100,overcast clouds
100,Buchanan,LR,5.8808,-10.0467,75.2,94,40,scattered clouds
101,Ahipara,NZ,-35.1667,173.1667,58.26,68,100,overcast clouds
102,Hermanus,ZA,-34.4187,19.2345,73.99,26,0,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,75.0,100,80,broken clouds
104,Isla Del Bosque,MX,22.7333,-105.85,64.4,94,1,clear sky
105,Yellowknife,CA,62.456,-114.3525,28.0,86,40,scattered clouds
106,Victoria,HK,22.2855,114.1577,77.0,73,63,broken clouds
107,Dikson,RU,73.5069,80.5464,3.31,90,72,broken clouds
108,Torbay,CA,47.6666,-52.7314,35.01,100,90,light rain
109,Airai,TL,-8.9266,125.4092,68.18,72,87,overcast clouds
110,Ilulissat,GL,69.2167,-51.1,6.8,51,75,broken clouds
111,Komsomolskiy,UZ,40.4272,71.7189,69.8,24,100,light rain
112,Pevek,RU,69.7008,170.3133,24.12,78,7,clear sky
113,Ambilobe,MG,-13.2,49.05,81.86,72,82,broken clouds
114,Narsaq,GL,60.9167,-46.05,19.4,45,0,clear sky
115,Rongcheng,CN,30.634,117.8517,66.54,42,100,overcast clouds
116,Dzaoudzi,YT,-12.7887,45.2699,80.6,89,90,moderate rain
117,Zhigansk,RU,66.7697,123.3711,19.87,84,100,light snow
118,Mangrol,IN,21.1167,70.1167,88.97,49,0,clear sky
119,Kasamwa,TZ,-2.85,32.4333,67.78,85,87,overcast clouds
120,Chokurdakh,RU,70.6333,147.9167,22.32,93,85,light snow
121,Kilsyth,GB,55.976,-4.0592,44.01,74,100,moderate rain
122,Sitka,US,57.0531,-135.33,46.4,66,40,scattered clouds
123,Paamiut,GL,61.994,-49.6678,11.93,58,7,clear sky
124,Orillia,CA,44.6087,-79.4207,41.0,81,74,broken clouds
125,Mehamn,NO,71.0357,27.8492,36.19,81,86,overcast clouds
126,Westport,US,41.1415,-73.3579,48.2,61,90,overcast clouds
127,Atuona,PF,-9.8,-139.0333,80.47,74,29,scattered clouds
128,Geraldton,AU,-28.7667,114.6,84.2,30,0,clear sky
129,East London,ZA,-33.0153,27.9116,66.2,55,0,clear sky
130,Bata,GQ,1.8639,9.7658,77.0,100,40,light rain
131,Birin,NP,26.8865,88.0718,86.0,48,20,few clouds
132,Touros,BR,-5.1989,-35.4608,75.2,94,75,light rain
133,Mount Gambier,AU,-37.8333,140.7667,62.6,72,75,broken clouds
134,Punta Arenas,CL,-53.15,-70.9167,46.4,76,75,broken clouds
135,Alugan,PH,12.2188,125.4808,76.69,94,100,moderate rain
136,Lompoc,US,34.6391,-120.4579,51.8,82,10,clear sky
137,Saint George,US,37.1041,-113.5841,57.2,19,1,clear sky
138,Port Hardy,CA,50.6996,-127.4199,51.8,87,20,few clouds
139,Smirnykh,RU,49.75,142.8333,35.42,99,100,overcast clouds
140,Cherskiy,RU,68.75,161.3,32.23,72,100,overcast clouds
141,Lukulu,ZM,-14.3707,23.242,63.36,64,86,overcast clouds
142,Yarada,IN,17.65,83.2667,87.84,61,0,clear sky
143,Virginia Beach,US,36.8529,-75.978,53.6,66,90,overcast clouds
144,Avera,US,33.194,-82.5271,62.6,72,1,clear sky
145,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,broken clouds
146,Esperance,AU,-33.8667,121.9,75.2,35,0,clear sky
147,Provideniya,RU,64.3833,-173.3,26.64,94,52,broken clouds
148,Novyy Urengoy,RU,66.0833,76.6333,3.38,90,93,overcast clouds
149,Homer,US,59.6425,-151.5483,44.6,70,20,few clouds
150,Caravelas,BR,-17.7125,-39.2481,71.51,93,24,few clouds
151,Mayo,US,38.8876,-76.5119,48.99,99,96,overcast clouds
152,Yar-Sale,RU,66.8333,70.8333,9.16,90,69,broken clouds
153,Chicama,PE,-7.8447,-79.1469,68.67,81,84,broken clouds
154,Conchagua,SV,13.3078,-87.8647,82.4,100,20,few clouds
155,Tromso,NO,69.6496,18.957,37.4,81,0,clear sky
156,Saint-Augustin,CA,51.226,-58.6502,31.21,85,15,few clouds
157,Katete,UG,-0.7818,29.7544,69.91,65,100,overcast clouds
158,Dhidhdhoo,MV,6.8833,73.1,84.29,71,55,broken clouds
159,Hobart,AU,-42.8794,147.3294,61.0,55,75,light rain
160,Klaksvik,FO,62.2266,-6.589,46.4,100,100,mist
161,Kodinsk,RU,58.6881,99.1844,32.22,54,96,overcast clouds
162,Solnechnyy,RU,50.7214,136.6319,49.46,61,33,scattered clouds
163,Cochrane,CA,51.1834,-114.4687,46.99,48,20,few clouds
164,Varkaus,FI,62.3153,27.873,48.99,52,0,clear sky
165,Qaqortoq,GL,60.7167,-46.0333,19.4,45,1,clear sky
166,Emerald,AU,-23.5333,148.1667,84.2,34,0,clear sky
167,Kodiak,US,57.79,-152.4072,41.0,87,90,overcast clouds
168,Bud,US,39.447,-86.1758,42.01,82,9,clear sky
169,Weinan,CN,34.5036,109.5089,75.2,29,0,clear sky
170,Hambantota,LK,6.1241,81.1185,87.8,74,40,scattered clouds
171,Pemangkat,ID,1.1667,108.9667,77.29,85,100,overcast clouds
172,Bhadrachalam,IN,17.6667,80.8833,99.59,30,3,clear sky
173,Cururupu,BR,-1.8283,-44.8683,73.78,97,99,overcast clouds
174,Beloha,MG,-25.1667,45.05,68.16,51,77,broken clouds
175,Zapolyarnyy,RU,69.4154,30.8136,35.6,80,89,overcast clouds
176,Agadez,NE,19.75,10.25,81.57,7,94,overcast clouds
177,Along,IN,28.1667,94.7667,72.82,70,96,overcast clouds
178,Aykhal,RU,66.0,111.5,8.19,85,100,overcast clouds
179,Heihe,CN,50.2441,127.4902,60.8,21,0,clear sky
180,Wencheng,CN,33.0559,113.7978,70.39,29,100,overcast clouds
181,Gushi,CN,34.6425,109.5843,76.19,26,39,scattered clouds
182,Kenora,CA,49.8167,-94.4337,44.6,42,40,scattered clouds
183,Acari,PE,-15.4311,-74.6158,70.97,79,11,few clouds
184,Makakilo City,US,21.3469,-158.0858,73.4,68,1,clear sky
185,Khatanga,RU,71.9667,102.5,5.92,86,100,overcast clouds
186,Kruisfontein,ZA,-34.0033,24.7314,69.1,26,3,clear sky
187,Waddan,LY,29.1614,16.139,74.12,40,100,overcast clouds
188,Buinsk,RU,54.95,48.2833,53.6,35,3,clear sky
189,Qaanaaq,GL,77.484,-69.3632,-1.39,93,100,overcast clouds
190,Toro,CO,4.6117,-76.0814,67.1,98,100,overcast clouds
191,Aswan,EG,24.0934,32.907,85.5,20,0,clear sky
192,Angoche,MZ,-16.2325,39.9086,76.82,65,94,overcast clouds
193,Canutama,BR,-6.5339,-64.3831,72.37,98,100,light rain
194,Talcahuano,CL,-36.7167,-73.1167,55.4,94,90,overcast clouds
195,Rabo De Peixe,PT,37.8,-25.5833,60.8,94,75,broken clouds
196,Lavrentiya,RU,65.5833,-171.0,22.64,97,33,scattered clouds
197,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.4,42,100,overcast clouds
198,Okitipupa,NG,6.5047,4.7839,77.27,93,93,overcast clouds
199,Noyabrsk,RU,63.1994,75.4507,6.87,80,45,scattered clouds
200,Necochea,AR,-38.5473,-58.7368,61.0,92,89,overcast clouds
201,Sobolevo,RU,54.4299,31.8996,45.36,77,59,broken clouds
202,Mahebourg,MU,-20.4081,57.7,78.8,89,75,light rain
203,Faanui,PF,-16.4833,-151.75,82.35,73,30,scattered clouds
204,Andijon,UZ,40.7821,72.3442,62.6,42,75,broken clouds
205,Zhongshu,CN,24.5167,103.7667,69.64,62,80,broken clouds
206,Rancho Palos Verdes,US,33.7445,-118.387,60.01,87,4,clear sky
207,Henties Bay,NA,-22.116,14.2845,73.2,58,93,overcast clouds
208,Saint-Francois,FR,46.4154,3.9054,41.0,75,0,clear sky
209,Inongo,CD,-1.95,18.2667,72.88,93,100,light rain
210,San Cristobal,VE,7.7669,-72.225,66.76,86,89,overcast clouds
211,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.14,99,99,overcast clouds
212,Turayf,SA,31.6725,38.6637,77.0,38,75,broken clouds
213,Ewa Beach,US,21.3156,-158.0072,73.4,68,1,clear sky
214,Grindavik,IS,63.8424,-22.4338,32.0,100,75,light snow
215,Piracicaba,BR,-22.7253,-47.6492,68.0,94,90,light rain
216,Chuy,UY,-33.6971,-53.4616,63.01,89,38,scattered clouds
217,Guerrero Negro,MX,27.9769,-114.0611,58.05,82,0,clear sky
218,Port-Gentil,GA,-0.7193,8.7815,78.8,89,20,light rain
219,Tasiilaq,GL,65.6145,-37.6368,23.0,80,90,overcast clouds
220,Medak,IN,18.0333,78.2667,93.99,38,20,few clouds
221,Kahului,US,20.8947,-156.47,73.4,88,40,scattered clouds
222,Xichang,CN,27.8964,102.2634,75.87,39,72,broken clouds
223,Tashtagol,RU,52.7657,87.8894,40.37,65,100,overcast clouds
224,Leningradskiy,RU,69.3833,178.4167,33.15,84,100,overcast clouds
225,Adrar,MR,20.5022,-10.0711,67.68,29,0,clear sky
226,Dalby,AU,-27.1833,151.2667,69.8,46,40,scattered clouds
227,Hithadhoo,MV,-0.6,73.0833,82.47,62,54,broken clouds
228,Huarmey,PE,-10.0681,-78.1522,67.53,89,97,overcast clouds
229,Coihaique,CL,-45.5752,-72.0662,49.06,94,100,overcast clouds
230,Davila,PH,18.4726,120.5763,89.6,55,75,broken clouds
231,Evensk,RU,61.95,159.2333,27.66,95,100,light snow
232,Kavieng,PG,-2.5744,150.7967,83.84,71,55,broken clouds
233,Wanxian,CN,30.8039,108.3897,61.56,91,100,overcast clouds
234,San Quintin,MX,30.4833,-115.95,56.64,86,0,clear sky
235,Bilibino,RU,68.0546,166.4372,24.13,81,4,clear sky
236,Padang,ID,-0.9492,100.3543,86.0,66,20,few clouds
237,Mount Isa,AU,-20.7333,139.5,86.0,23,1,clear sky
238,Dunedin,NZ,-45.8742,170.5036,55.0,69,98,overcast clouds
239,Taganak,PH,6.0833,118.3,87.8,66,20,few clouds
240,Jamestown,US,42.097,-79.2353,44.01,87,90,overcast clouds
241,Meulaboh,ID,4.1363,96.1285,85.93,64,79,broken clouds
242,Roebourne,AU,-20.7833,117.1333,87.98,38,0,clear sky
243,Krasnokholmskiy,RU,55.9873,55.0466,49.51,52,2,clear sky
244,Nadym,RU,65.5333,72.5167,8.62,85,61,broken clouds
245,Hovd,MN,48.0056,91.6419,57.78,13,0,clear sky
246,Torit,SS,4.4133,32.5678,80.55,57,100,overcast clouds
