City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabedelo,BR,2021-05-07 04:15:32,-6.9811,-34.8339,73.4,94,20,5.75
68,Dunedin,NZ,2021-05-07 04:15:32,-45.8742,170.5036,57.99,72,75,7.0
69,Sumbe,AO,2021-05-07 04:15:33,-11.2061,13.8437,76.78,83,99,3.42
70,Nishihara,JP,2021-05-07 04:15:33,26.1842,127.7558,82.4,78,75,13.8
71,Ilulissat,GL,2021-05-07 04:15:33,69.2167,-51.1,18.1,83,12,5.59
72,Blackwater,AU,2021-05-07 04:15:34,-23.5833,148.8833,79.2,24,0,4.34
73,Ovejas,CO,2021-05-07 04:15:34,9.5325,-75.2238,74.17,91,100,4.36
74,Norman Wells,CA,2021-05-07 04:15:34,65.282,-126.8329,51.8,43,75,5.75
75,Manzhouli,CN,2021-05-07 04:15:35,49.6,117.4333,49.03,33,100,5.66
76,Yellowknife,CA,2021-05-07 04:14:13,62.456,-114.3525,50.0,37,20,9.22
77,Istisu,AZ,2021-05-07 04:15:35,40.9457,48.0738,53.15,65,100,2.06
78,Kavieng,PG,2021-05-07 04:15:36,-2.5744,150.7967,84.34,72,22,6.02
79,Rawson,AR,2021-05-07 04:15:36,-43.3002,-65.1023,51.98,71,53,10.22
80,Lipari,IT,2021-05-07 04:15:36,38.4674,14.954,61.0,50,99,1.99
81,Khatanga,RU,2021-05-07 04:15:37,71.9667,102.5,36.88,79,100,16.62
82,Buraydah,SA,2021-05-07 04:15:37,26.326,43.975,77.0,31,0,3.44
83,Nikolskoye,RU,2021-05-07 04:15:37,59.7035,30.7861,42.8,87,90,6.71
84,Bredasdorp,ZA,2021-05-07 04:15:38,-34.5322,20.0403,60.8,88,87,11.5
85,Leo,BF,2021-05-07 04:15:38,11.1,-2.1,80.71,59,100,11.21
86,Saldanha,ZA,2021-05-07 04:15:39,-33.0117,17.9442,59.0,88,81,5.75
87,Victoria Point,AU,2021-05-07 04:15:39,-27.5833,153.3,79.0,63,100,5.01
88,Kruisfontein,ZA,2021-05-07 04:15:40,-34.0033,24.7314,60.01,95,3,1.01
89,Aklavik,CA,2021-05-07 04:15:40,68.2191,-135.0107,35.6,60,100,13.8
90,Mastic Beach,US,2021-05-07 04:12:56,40.7668,-72.8521,52.0,71,1,3.44
91,San Cristobal,VE,2021-05-07 04:15:41,7.7669,-72.225,66.81,96,100,1.39
92,Calera,US,2021-05-07 04:15:41,33.1029,-86.7536,57.99,77,1,4.61
93,Port Alfred,ZA,2021-05-07 04:15:42,-33.5906,26.891,66.72,84,69,11.65
94,Praia Da Vitoria,PT,2021-05-07 04:15:42,38.7333,-27.0667,68.0,77,40,19.24
95,Naranjal,EC,2021-05-07 04:15:42,-2.6667,-79.6167,75.99,73,75,9.22
96,Pinega,RU,2021-05-07 04:15:43,64.7001,43.3936,37.51,92,100,12.01
97,Shenjiamen,CN,2021-05-07 04:15:43,29.9576,122.298,69.01,78,75,5.84
98,Luau,AO,2021-05-07 04:15:43,-10.7073,22.2247,65.91,76,98,4.94
99,Ouro Preto Do Oeste,BR,2021-05-07 04:15:44,-10.7481,-62.2158,65.44,93,15,8.68
100,Olafsvik,IS,2021-05-07 04:15:44,64.8945,-23.7142,34.14,66,26,13.06
101,Hazorasp,UZ,2021-05-07 04:15:45,41.3194,61.0742,64.4,82,90,11.5
102,Tera,NE,2021-05-07 04:15:45,14.0078,0.7531,90.03,33,27,11.95
103,Nandurbar,IN,2021-05-07 04:15:45,21.3667,74.25,85.89,46,84,10.07
104,Esperance,AU,2021-05-07 04:15:46,-33.8667,121.9,68.0,68,40,9.22
105,Mount Gambier,AU,2021-05-07 04:15:46,-37.8333,140.7667,68.0,64,40,9.22
106,Nantucket,US,2021-05-07 04:13:38,41.2835,-70.0995,46.99,93,1,5.75
107,Kavaratti,IN,2021-05-07 04:15:47,10.5669,72.642,85.51,68,100,3.49
108,Svetlaya,RU,2021-05-07 04:15:47,46.5389,138.3297,51.01,74,41,17.25
109,Thinadhoo,MV,2021-05-07 04:15:47,0.5333,72.9333,84.54,71,90,6.38
110,Geraldton,AU,2021-05-07 04:15:48,-28.7667,114.6,71.6,64,40,17.27
111,Yerbogachen,RU,2021-05-07 04:12:10,61.2767,108.0108,45.0,54,4,3.56
112,Egvekinot,RU,2021-05-07 04:15:48,66.3167,-179.1667,26.58,78,1,1.5
113,Njombe,TZ,2021-05-07 04:15:49,-9.3333,34.7667,52.27,96,91,5.75
114,Hithadhoo,MV,2021-05-07 04:15:49,-0.6,73.0833,83.93,72,35,3.42
115,Cidreira,BR,2021-05-07 04:15:49,-30.1811,-50.2056,57.36,74,33,10.2
116,Katsuura,JP,2021-05-07 04:15:50,35.1333,140.3,66.99,73,100,4.34
117,Monjas,GT,2021-05-07 04:15:50,14.5,-89.8667,60.01,91,100,1.99
118,New Norfolk,AU,2021-05-07 04:15:51,-42.7826,147.0587,71.01,71,98,1.99
119,Tutoia,BR,2021-05-07 04:15:51,-2.7619,-42.2744,76.8,86,100,6.71
120,Barrow,US,2021-05-07 04:15:52,71.2906,-156.7887,14.0,79,75,6.91
121,Te Anau,NZ,2021-05-07 04:15:52,-45.4167,167.7167,56.26,70,71,0.81
122,Dikson,RU,2021-05-07 04:15:52,73.5069,80.5464,27.77,90,99,17.47
123,Mahebourg,MU,2021-05-07 04:15:53,-20.4081,57.7,71.6,100,40,2.3
124,Port Hardy,CA,2021-05-07 04:15:53,50.6996,-127.4199,46.4,93,75,3.44
125,Marovoay,MG,2021-05-07 04:15:53,-16.1,46.6333,73.4,94,40,3.44
126,Faanui,PF,2021-05-07 04:15:54,-16.4833,-151.75,82.36,71,11,13.47
127,Ryotsu,JP,2021-05-07 04:15:54,38.0833,138.4333,73.4,49,75,9.22
128,East London,ZA,2021-05-07 04:15:54,-33.0153,27.9116,66.2,72,0,10.36
129,Mehamn,NO,2021-05-07 04:15:55,71.0357,27.8492,33.8,80,75,14.97
130,Acapulco,MX,2021-05-07 04:14:52,16.8634,-99.8901,80.65,73,43,3.33
131,Manokwari,ID,2021-05-07 04:15:55,-0.8667,134.0833,84.34,70,90,6.31
132,Carnarvon,AU,2021-05-07 04:15:56,-24.8667,113.6333,77.0,53,0,10.36
133,Balakhninskiy,RU,2021-05-07 04:12:14,58.0106,114.2769,45.18,58,67,3.76
134,Lubango,AO,2021-05-07 04:15:57,-14.9172,13.4925,57.22,89,17,3.33
135,Melykut,HU,2021-05-07 04:15:57,46.2151,19.381,51.01,61,100,8.9
136,Livingston,GB,2021-05-07 04:15:57,55.9029,-3.5226,37.0,93,0,4.61
137,Gizo,SB,2021-05-07 04:15:58,-8.103,156.8419,84.52,74,51,6.33
138,Umm Kaddadah,SD,2021-05-07 04:15:58,13.6017,26.6876,75.38,60,7,7.27
139,Baniyas,SY,2021-05-07 04:15:58,35.1819,35.9487,64.4,82,40,4.61
140,Carutapera,BR,2021-05-07 04:15:59,-1.195,-46.02,75.06,91,38,3.42
141,Chuy,UY,2021-05-07 04:15:59,-33.6971,-53.4616,53.17,76,93,7.81
142,Port Blair,IN,2021-05-07 04:15:59,11.6667,92.75,84.24,71,98,11.59
143,Juneau,US,2021-05-07 04:11:31,58.3019,-134.4197,51.8,62,90,8.05
144,Bambous Virieux,MU,2021-05-07 04:16:00,-20.3428,57.7575,77.0,100,40,2.3
145,Broome,US,2021-05-07 04:16:00,42.2506,-75.833,42.8,45,1,3.44
146,Nanortalik,GL,2021-05-07 04:16:01,60.1432,-45.2371,35.74,78,95,4.43
147,Port Lincoln,AU,2021-05-07 04:16:01,-34.7333,135.8667,70.45,56,89,8.61
148,Arman,RU,2021-05-07 04:16:02,59.7,150.1667,40.69,69,60,5.12
149,Luderitz,NA,2021-05-07 04:16:02,-26.6481,15.1594,57.36,78,0,12.15
150,Isaka,TZ,2021-05-07 04:16:02,-3.9,32.9333,62.28,91,84,4.21
151,Thompson,CA,2021-05-07 04:16:03,55.7435,-97.8558,30.2,74,1,4.61
152,Hilo,US,2021-05-07 04:13:21,19.7297,-155.09,78.8,65,90,6.91
153,Sinnamary,GF,2021-05-07 04:16:03,5.3833,-52.95,77.36,87,100,7.72
154,Ribeira Grande,PT,2021-05-07 04:16:03,38.5167,-28.7,63.45,90,61,22.73
155,Airai,TL,2021-05-07 04:16:04,-8.9266,125.4092,68.36,78,97,2.77
156,Touros,BR,2021-05-07 04:16:04,-5.1989,-35.4608,75.2,94,75,2.3
157,Saint-Leu,RE,2021-05-07 04:16:05,-21.15,55.2833,73.4,78,75,5.75
158,Pisco,PE,2021-05-07 04:16:05,-13.7,-76.2167,68.0,77,90,3.44
159,Yambio,SS,2021-05-07 04:16:05,4.5721,28.3955,67.6,98,100,3.11
160,Krasnoye,UA,2021-05-07 04:16:06,49.9145,24.6134,44.6,81,75,8.95
161,Parma,IT,2021-05-07 04:16:06,44.8027,10.329,60.01,68,98,3.8
162,Tsabong,BW,2021-05-07 04:16:06,-26.0217,22.401,66.38,46,97,7.94
163,Mae Sai,TH,2021-05-07 04:16:07,20.4335,99.8762,86.0,69,20,6.91
164,Takaka,NZ,2021-05-07 04:16:07,-40.85,172.8,59.0,75,89,1.01
165,Lompoc,US,2021-05-07 04:11:21,34.6391,-120.4579,53.6,82,7,8.05
166,Petropavlovka,RU,2021-05-07 04:16:08,50.6114,105.3196,51.03,39,92,13.8
167,Itarema,BR,2021-05-07 04:16:08,-2.9248,-39.9167,75.96,86,77,3.42
168,Jizan,SA,2021-05-07 04:16:09,17.3333,42.6667,86.0,79,40,5.48
169,Laguna,US,2021-05-07 04:16:09,38.421,-121.4238,64.4,59,1,11.5
170,Marquette,US,2021-05-07 04:16:10,46.5333,-87.6335,39.0,82,53,4.72
171,Marawi,PH,2021-05-07 04:16:10,7.9986,124.2928,91.0,67,100,7.72
172,Tiksi,RU,2021-05-07 04:16:11,71.6872,128.8694,30.09,88,100,14.2
173,Caravelas,BR,2021-05-07 04:16:11,-17.7125,-39.2481,73.62,87,99,5.23
174,Kodinsk,RU,2021-05-07 04:16:11,58.6881,99.1844,45.43,49,95,9.13
175,Pout,SN,2021-05-07 04:16:12,14.7739,-17.0603,68.0,88,91,17.27
176,Prattville,US,2021-05-07 04:16:12,32.464,-86.4597,64.4,59,40,3.44
177,Dingle,PH,2021-05-07 04:16:12,10.9995,122.6711,91.85,47,24,14.97
178,Atambua,ID,2021-05-07 04:16:13,-9.1061,124.8925,81.23,69,93,0.54
179,Tazovskiy,RU,2021-05-07 04:16:13,67.4667,78.7,32.36,98,100,6.35
180,Palmer,US,2021-05-07 04:16:14,42.1584,-72.3287,44.6,87,1,3.44
181,Oyama,JP,2021-05-07 04:16:14,36.3,139.8,71.01,68,75,5.75
182,Saint-Pierre,RE,2021-05-07 04:16:14,-21.3393,55.4781,73.4,78,75,5.75
183,Hailar,CN,2021-05-07 04:16:15,49.2,119.7,45.61,67,100,10.4
184,Pevek,RU,2021-05-07 04:12:15,69.7008,170.3133,30.15,82,8,3.24
185,Senador Jose Porfirio,BR,2021-05-07 04:16:16,-2.5908,-51.9542,73.76,96,89,2.55
186,Plettenberg Bay,ZA,2021-05-07 04:16:16,-34.0527,23.3716,59.2,89,0,2.64
187,Skovorodino,RU,2021-05-07 04:16:16,53.9833,123.9167,46.45,61,82,5.32
188,Krutikha,RU,2021-05-07 04:16:17,53.9599,81.2093,61.79,40,100,10.36
189,Bethel,US,2021-05-07 04:16:17,41.3712,-73.414,51.01,71,1,4.45
190,Ginir,ET,2021-05-07 04:16:18,7.1333,40.7,57.72,97,100,1.97
191,Bubaque,GW,2021-05-07 04:16:18,11.2833,-15.8333,76.78,71,62,11.23
192,Portree,GB,2021-05-07 04:16:18,57.4129,-6.1942,36.0,80,42,1.01
193,Itoman,JP,2021-05-07 04:13:22,26.1247,127.6694,82.0,83,75,12.66
194,Vila Velha,BR,2021-05-07 04:16:19,-20.3297,-40.2925,75.2,83,0,8.05
195,Clonakilty,IE,2021-05-07 04:16:19,51.6231,-8.8706,37.4,81,20,6.91
196,Oum Hadjer,TD,2021-05-07 04:16:20,13.2954,19.6966,84.24,51,42,11.03
197,Riyadh,SA,2021-05-07 04:13:12,24.6877,46.7219,86.0,13,0,9.17
198,Jose De Freitas,BR,2021-05-07 04:16:20,-4.7564,-42.5756,75.2,94,75,3.44
199,Mattru,SL,2021-05-07 04:16:20,7.6244,-11.8332,76.59,92,100,1.32
200,Hambantota,LK,2021-05-07 04:16:21,6.1241,81.1185,84.2,94,20,4.61
201,Kamenka,RU,2021-05-07 04:16:21,51.3223,42.7678,54.23,67,100,12.95
202,Tirano,IT,2021-05-07 04:16:22,46.2154,10.1679,51.01,91,100,1.72
203,Vaasa,FI,2021-05-07 04:16:22,63.096,21.6158,35.01,80,20,5.75
204,Sao Filipe,CV,2021-05-07 04:16:22,14.8961,-24.4956,71.83,80,46,3.27
205,Coihaique,CL,2021-05-07 04:16:23,-45.5752,-72.0662,30.2,93,28,1.45
206,Suntar,RU,2021-05-07 04:16:23,62.1444,117.6319,43.03,71,99,7.14
207,Cayenne,GF,2021-05-07 04:12:19,4.9333,-52.3333,77.0,94,20,7.85
208,Saint George,US,2021-05-07 04:16:24,37.1041,-113.5841,82.0,12,1,5.75
209,Rafsanjan,IR,2021-05-07 04:16:24,30.4067,55.9939,75.88,26,2,4.25
210,Alyangula,AU,2021-05-07 04:16:24,-13.8483,136.4192,87.8,42,11,8.05
211,Vostok,RU,2021-05-07 04:16:25,46.4856,135.8833,69.69,28,40,5.57
212,Eyl,SO,2021-05-07 04:16:25,7.9803,49.8164,84.16,70,100,3.91
213,Naze,JP,2021-05-07 04:16:25,28.3667,129.4833,75.2,94,75,21.85
214,Montrose,US,2021-05-07 04:12:09,38.4166,-108.2673,60.01,28,37,5.99
215,Guane,CU,2021-05-07 04:16:26,22.2025,-84.0875,73.35,82,8,4.25
216,Anchorage,US,2021-05-07 04:15:47,61.2181,-149.9003,48.2,53,90,6.91
217,Kaili,ID,2021-05-07 04:16:26,-3.4626,120.2147,72.64,92,99,2.77
218,Edson,CA,2021-05-07 04:16:27,53.5835,-116.4356,60.8,33,90,8.05
219,Shestakovo,RU,2021-05-07 04:16:27,56.4915,103.96,43.74,64,93,5.73
220,Neftcala,AZ,2021-05-07 04:16:28,39.3742,49.2472,61.16,75,97,8.88
221,Longyearbyen,SJ,2021-05-07 04:15:24,78.2186,15.6401,17.6,67,20,17.27
222,Isangel,VU,2021-05-07 04:16:28,-19.55,169.2667,84.2,74,75,9.22
223,Orda,RU,2021-05-07 04:16:29,57.1951,56.9091,53.15,69,99,12.93
224,Leningradskiy,RU,2021-05-07 04:16:29,69.3833,178.4167,23.2,88,18,8.5
225,Meulaboh,ID,2021-05-07 04:16:29,4.1363,96.1285,85.08,68,62,3.15
226,Petauke,ZM,2021-05-07 04:16:30,-14.2426,31.3253,52.63,71,69,5.84
227,Poplar Bluff,US,2021-05-07 04:16:30,36.757,-90.3929,57.2,66,1,4.61
228,Bridlington,GB,2021-05-07 04:16:31,54.0831,-0.1919,36.0,88,8,4.0
229,Talnakh,RU,2021-05-07 04:16:31,69.4865,88.3972,34.45,99,100,5.35
230,Avarua,CK,2021-05-07 04:16:31,-21.2078,-159.775,73.4,68,75,17.27
231,Lavrentiya,RU,2021-05-07 04:16:31,65.5833,-171.0,30.06,87,16,3.83
232,Tamandare,BR,2021-05-07 04:16:32,-8.7597,-35.1047,75.49,85,37,0.83
233,Kalmunai,LK,2021-05-07 04:16:32,7.4167,81.8167,85.48,68,91,1.41
234,Dhidhdhoo,MV,2021-05-07 04:16:33,6.8833,73.1,84.78,67,63,0.69
235,Zhigansk,RU,2021-05-07 04:16:33,66.7697,123.3711,39.07,62,96,9.82
236,Hermanus,ZA,2021-05-07 04:16:33,-34.4187,19.2345,59.0,97,100,3.0
237,Nizhniy Kuranakh,RU,2021-05-07 04:16:34,58.8353,125.4869,37.08,94,100,5.84
238,Bonavista,CA,2021-05-07 04:16:34,48.6499,-53.1147,36.0,100,95,1.14
239,Quatre Cocos,MU,2021-05-07 04:16:34,-20.2078,57.7625,77.0,100,40,2.3
